champion,kills,deaths,assists,gold,win
Talon,8.63395975387,6.42491268917,5.66505903875,12174.9657409,0.528521536671
Taric,1.30176322418,4.41964735516,13.3732997481,8533.75465995,0.505793450882
Teemo,5.02473498233,5.39575971731,5.43045293929,11821.2746547,0.496305814327
Thresh,1.64493474208,5.15761342449,13.3692977004,8286.57402113,0.503169670603
Tristana,6.16666666667,5.19433198381,5.89743589744,11692.1288799,0.490553306343
Trundle,3.38770685579,4.87234042553,8.57604412924,10253.3089046,0.470449172577
Tryndamere,5.30689770077,4.82739086971,3.99800066644,12288.9236921,0.521826057981
Twisted Fate,5.42393569515,5.16299493897,7.87883298601,12094.7983031,0.513843405776
Twitch,7.49974380871,5.64047822374,6.72638770282,12006.8775406,0.522459436379
Udyr,5.00672268908,4.68571428571,7.01176470588,11204.2773109,0.478991596639
Urgot,5.03773584906,5.54481132075,6.375,10915.0754717,0.474056603774
Varus,5.73569620253,5.33244122966,7.85613019892,11918.9253526,0.500108499096
Vayne,6.13199595415,5.73027646662,5.5826028321,11710.1011463,0.495954146999
Veigar,6.04802744425,5.31103487707,6.26129216695,11182.864494,0.471698113208
Vel'Koz,4.921694164,5.56340802758,8.45087416892,10725.8505294,0.484609702044
Vi,5.93771194003,5.52293414242,7.03426735677,11279.5627342,0.481884704623
Viktor,5.93026730865,5.10526315789,5.89473684211,11859.917317,0.467541092479
Vladimir,5.54257302672,5.20053863683,5.84400248602,11246.9763828,0.482287134866
Volibear,5.3487698987,4.46888567294,7.84515195369,10706.9232996,0.500723589001
Warwick,6.48111810441,6.01351351351,7.0055534987,11131.6094039,0.483524620511
Wukong,6.61103117506,5.76498800959,5.98848920863,11403.3985612,0.483932853717
Xerath,6.18790731354,4.76104272266,8.20492396814,11831.2737147,0.490224475018
Xin Zhao,5.9298245614,5.79093567251,5.89473684211,11253.8369883,0.49634502924
Yasuo,5.72984581498,6.27929515419,5.27775330396,11702.0241189,0.498568281938
Yorick,4.37704918033,5.2393442623,4.82950819672,11371.1885246,0.468852459016
Zac,4.7991625758,3.99841178169,10.3456540572,10819.6261912,0.48686110309
Zed,7.93468813906,5.6799591002,5.0572597137,12091.1765082,0.498977505112
Ziggs,5.47876728949,5.16330987624,7.44964814365,11973.0332444,0.515408881339
Zilean,2.62753036437,4.28576248313,11.3768556005,9664.77935223,0.505735492578
Zyra,2.93486079659,5.96869588384,10.0837884641,9785.41761023,0.483415478886
