2472279392,Galio,1,10,7,10784,Lee Sin,5,5,4,11686,Viktor,4,10,5,11324,Lucian,3,7,5,11230,Gragas,1,9,6,8655,Fizz,17,2,13,18453,Evelynn,7,4,20,12965,Zed,12,3,12,14936,Ezreal,2,1,2,8070,Thresh,3,4,28,10378,2
2472264971,Kennen,3,5,5,7792,Graves,3,6,2,7643,Cassiopeia,5,4,2,8160,Caitlyn,5,10,7,9179,Syndra,2,8,4,7073,Gragas,1,3,7,8665,Lee Sin,13,4,5,10771,Kassadin,11,3,5,11882,Ezreal,6,3,13,10975,Karma,2,5,17,8044,2
2466395770,Renekton,6,5,6,15016,Rek'Sai,4,7,10,14671,Cassiopeia,6,5,9,14176,Ziggs,4,4,7,13542,Sona,6,4,11,11960,Jayce,2,6,11,13954,Kha'Zix,6,5,3,15050,Ahri,9,4,6,17280,Lucian,6,6,5,17307,Malzahar,2,5,11,11684,2
2466287821,Vladimir,0,7,2,5572,Graves,4,4,3,7299,Talon,4,6,1,6491,Kalista,3,3,3,8064,Thresh,1,3,6,5072,Riven,7,2,3,9302,Lee Sin,4,2,9,8284,Ekko,7,2,6,9145,Lucian,5,2,5,8616,Blitzcrank,0,4,7,5172,2
2466283601,Annie,8,4,10,16161,Rek'Sai,1,10,12,14125,Taliyah,13,7,5,20227,Kalista,10,8,11,18158,Fiddlesticks,1,8,19,11772,Jayce,7,10,8,16032,Kha'Zix,12,6,9,18134,Viktor,4,6,17,16705,Ezreal,9,6,13,18036,Nami,5,5,20,12594,1
2466300160,Renekton,6,4,2,12201,Gragas,8,3,11,12120,Gangplank,11,0,8,18764,Caitlyn,6,4,8,12614,Brand,3,4,16,11753,Galio,1,7,7,8929,Xin Zhao,7,6,6,10890,Twisted Fate,5,5,3,12368,Jinx,2,9,0,10097,Lulu,0,7,4,6891,1
2466245050,Renekton,8,2,6,10531,Ivern,3,1,10,9136,Karthus,6,3,8,11063,Lucian,9,3,10,11484,Lulu,5,3,12,8379,Camille,4,5,2,7756,Lee Sin,2,8,4,7253,Taliyah,3,6,3,9128,Ezreal,3,6,3,8120,Zyra,0,6,5,5939,1
2461768511,Kled,5,4,8,8262,Elise,9,2,7,9411,Anivia,6,0,7,8891,Ashe,6,1,7,9651,Lulu,3,1,16,7093,Pantheon,1,4,4,6557,Nidalee,5,5,0,8337,Vladimir,0,6,1,6113,Caitlyn,1,7,0,6742,Brand,1,7,2,5542,1
2461579328,Gragas,1,8,5,7969,Lee Sin,7,7,4,9990,Karthus,3,8,4,9489,Ezreal,4,7,8,10199,Malzahar,2,8,7,7104,Fizz,14,3,5,15424,Hecarim,13,3,13,14967,Kled,5,3,19,12908,Lucian,6,3,15,14405,Thresh,0,5,21,9097,2
2461595039,Fiora,0,6,0,6149,Olaf,1,2,2,6031,Orianna,2,6,2,6978,Kalista,3,3,4,7632,Nami,2,4,4,5162,Camille,11,0,3,10949,Elise,4,3,3,8429,Katarina,5,0,5,9251,Lucian,1,2,5,8029,Lulu,0,3,4,5789,2
